parent	uorf_number	positions	length
YBL085W	16	5, 55, 66, 72, 184, 223, 250, 269, 361, 438, 443, 491, 511, 533, 681, 690	799
YBL011W	17	27, 71, 93, 149, 423, 437, 459, 476, 486, 489, 538, 593, 613, 726, 749, 800, 817	827
YBR112C	6	70, 112, 420, 428, 454, 459	829
YBR114W	5	19, 41, 97, 259, 401	451
YBR185C	6	3, 10, 59, 120, 165, 326	360
YBR257W	12	25, 90, 110, 161, 202, 236, 260, 269, 411, 428, 444, 449	494
YBR281C	7	54, 71, 83, 138, 144, 167, 252	310
YCL050C	5	14, 119, 166, 234, 545	608
YDL174C	13	114, 179, 191, 291, 368, 475, 512, 516, 663, 737, 832, 1091, 1103	1185
YDL070W	4	48, 61, 68, 154	272
YDR060W	15	26, 35, 39, 78, 86, 199, 219, 241, 363, 366, 412, 435, 457, 468, 493	512
YDR222W	4	2, 7, 63, 81	153
YDR501W	0		82
YEL025C	16	3, 103, 124, 166, 212, 255, 280, 349, 353, 374, 423, 463, 484, 512, 631, 700	747
YEL015W	30	31, 41, 82, 92, 139, 172, 320, 397, 417, 428, 474, 505, 510, 682, 721, 788, 852, 1009, 1030, 1049, 1139, 1170, 1215, 1309, 1347, 1372, 1450, 1497, 1654, 1801	1811
YER111C	7	12, 35, 139, 144, 376, 451, 510	626
YFL036W	7	39, 45, 66, 110, 279, 315, 417	475
YGL103W	13	17, 45, 68, 95, 109, 166, 189, 198, 203, 262, 335, 480, 535	607
YGL097W	4	84, 163, 295, 541	583
YGR194C	4	153, 401, 455, 473	504
YGR260W	5	81, 92, 223, 246, 301	344
YGR264C	17	21, 28, 54, 123, 133, 154, 234, 240, 271, 306, 354, 426, 443, 450, 456, 459, 476	482
YGR266W	9	77, 96, 196, 229, 236, 308, 337, 366, 418	470
YGR281W	9	100, 325, 372, 422, 434, 485, 494, 514, 578	629
YHR006W	13	42, 66, 70, 78, 82, 131, 167, 349, 366, 371, 403, 537, 548	585
YHR013C	5	9, 58, 67, 124, 180	335
YHR071W	15	21, 25, 79, 145, 208, 213, 303, 308, 373, 385, 436, 483, 518, 592, 645	790
YIL144W	9	86, 127, 158, 167, 203, 240, 327, 332, 384	457
YIL031W	1	23	131
YJL196C	1	144	188
YJL084C	4	24, 186, 265, 343	433
YJL083W	16	34, 49, 57, 116, 136, 151, 155, 168, 173, 188, 211, 265, 305, 348, 428, 442	451
YJL003W	1	16	113
YJR077C	7	6, 55, 196, 204, 222, 253, 321	437
YJR138W	11	5, 64, 121, 186, 238, 259, 331, 366, 414, 436, 512	599
YKL122C	14	3, 97, 148, 298, 331, 360, 372, 453, 505, 515, 538, 550, 587, 654	698
YLL031C	19	6, 60, 86, 137, 177, 242, 268, 278, 289, 304, 372, 496, 507, 571, 635, 647, 658, 730, 761	790
YLR114C	11	37, 121, 177, 209, 224, 313, 316, 334, 362, 394, 411	484
YLR259C	10	49, 61, 77, 87, 202, 240, 361, 422, 461, 485	520
YLR260W	6	96, 100, 146, 199, 207, 227	392
YLR274W	8	10, 16, 40, 122, 322, 427, 491, 582	630
YML111W	7	133, 157, 184, 206, 401, 445, 617	630
YML075C	9	84, 106, 112, 280, 336, 381, 389, 400, 693	862
YMR100W	7	137, 154, 157, 231, 269, 278, 317	404
YMR122W-A	11	99, 119, 163, 205, 292, 295, 350, 366, 485, 522, 549	659
YMR208W	4	30, 44, 180, 203	267
YNL305C	2	0, 12	150
YNL015W	6	37, 110, 243, 291, 302, 332	367
YNR017W	7	25, 52, 56, 114, 171, 181, 207	390
YOL135C	25	64, 84, 100, 107, 181, 207, 269, 274, 310, 355, 379, 388, 452, 458, 498, 556, 577, 581, 594, 635, 775, 877, 928, 973, 993	1021
YOL103W	2	144, 156	199
YOL100W	9	69, 98, 108, 147, 162, 185, 192, 222, 359	480
YOL002C	4	134, 156, 184, 191	209
YOR020W-A	7	20, 62, 114, 135, 247, 337, 356	511
YOR076C	10	69, 73, 87, 93, 246, 251, 264, 456, 459, 576	634
YOR246C	26	362, 365, 387, 438, 508, 592, 774, 789, 827, 831, 844, 853, 882, 894, 927, 982, 1054, 1336, 1410, 1423, 1440, 1457, 1481, 1488, 1491, 1505	1546
YOR290C	4	89, 156, 159, 352	449
YOR320C	9	94, 105, 122, 207, 244, 386, 392, 471, 590	608
YOR321W	11	1, 20, 35, 62, 220, 295, 307, 325, 331, 340, 344	526
YOR350C	1	112	153
YOR352W	5	210, 224, 270, 307, 347	373
YOR354C	4	122, 192, 250, 277	315
YPL274W	15	8, 28, 33, 62, 166, 170, 226, 240, 375, 425, 436, 449, 510, 711, 716	732
YPL163C	5	11, 46, 51, 85, 105	144
YPL160W	5	65, 79, 221, 355, 416	449
YPL152W	7	9, 26, 29, 81, 331, 356, 377	410
YPL120W	3	0, 108, 141	174
YPL088W	42	0, 37, 54, 175, 179, 206, 227, 270, 582, 596, 668, 680, 752, 788, 808, 812, 983, 1070, 1301, 1313, 1339, 1345, 1421, 1430, 1453, 1461, 1466, 1545, 1575, 1612, 1683, 1713, 1831, 1841, 1981, 1990, 2019, 2116, 2513, 2540, 2634, 2680	2783
YPR013C	7	175, 178, 198, 357, 370, 376, 399	438
YPR029C	3	246, 305, 319	384
YPR164W	9	0, 27, 41, 112, 134, 192, 275, 297, 314	354
YCL057C-A	0		196
YLR115W	9	95, 124, 188, 191, 203, 230, 258, 265, 404	408
YLR325C	7	58, 152, 189, 268, 289, 294, 373	424
